username,tweet
harryandowen,Happy 18th Birthday son @collinge_owen I am sure you will always remember this birthday #bestmate
SaoirseMcCorma1,@picturethis Any chance of ye wishing my friend John a happy 18th? Trying to brighten up his birthday lockdown as much as I can here 
Steve_Heinrichs,A “socially distant” 18th birthday party... Thanks to “The Squad” for pulling this off. Happy Birthday Olivia!! 
_mczrns,happy 18th birthdaaay!!! thank u sa pakikinig sa rants ko nun and pagsupport sa kaharutan ko sa mga crush ko HAHAHAHAHAHA more birthdays n blessings to come!! enjoy ur day!! (wala tayong pics e :// HAHAHAHA grr) @pastryycia
Cicikeeks123,@moykamusic hi there. Could you please wish my best friend @1stJiveDude a happy 18th birthday? He is literally your biggest fan and it would mean the world! Thank you :)
Cicikeeks123,@moykamusic hii. Could you please wish my best friend @1stJiveDude a happy 18th birthday? He is literally your biggest fan and it would mean the world! Thank you :)
Cicikeeks123,@moykamusic hey there. Could you please wish my best friend @1stJiveDude a happy 18th birthday? He is literally your biggest fan and it would mean the world! Thank you :)
Cicikeeks123,@moykamusic hello. Could you please wish my best friend @1stJiveDude a happy 18th birthday? He is literally your biggest fan and it would mean the world! Thank you :)
Cicikeeks123,@moykamusic heyy. Could you please wish my best friend @1stJiveDude a happy 18th birthday? He is literally your biggest fan and it would mean the world! Thank you :)
Cicikeeks123,@moykamusic heyyy. Could you please wish my best friend @1stJiveDude a happy 18th birthday? He is literally your biggest fan and it would mean the world! Thank you :)
tori_broussard,"Hate that I wasn’t able to celebrate my cousin’s 18th birthday in person with her today, but seeing her happy and toasting on FaceTime will do "
_kkyanggggg,Happy 18th Birthday @veeangelalala Chu!!! Welcome to world of legality. Extend ule? 
LacernaJacky,Happy 18th birthday Kenny!!! 
ang_1011,"Happy 18th birthday to this great friend of mine! Thank you for making senior year so much more enjoyable! Sorry you have to spend it in quarantine, but try and make the most of it! Happy Birthday!!!! @preciousgm11"
mariakristel_20,Happy 18th birthdayyy bff ko nakatulog ako kagabe magkachat pa tayo tapos boom 6:00 am na pala NAG expect ka panaman na ako unang babati HAHAHAHA eto lang masasabe ko walang kwenta birthday great ko sayo @kristinejhoyy13
jadexthomas,"EYYY IT'S YO BIRTHDAY, Happy 18th Kennyyy. Keep safe labyuuu @kensanjose_ "
laeleiapple,Happy 18th Birthday luuuv #KenSanJoseTurns18
nattierizo,Happy 18th Birthday to my beautiful Angela! I’m so lucky to have meet you last year and loved getting to become so close. I love you always! @angela_nicole02
doctorfodder,A very Happy locked-in 17th birthday to @aerynpickford. Seen here creating personal social distancing space from a young age. This will be a birthday you won't forget and make that 18th birthday trip to the pub next… https://www.instagram.com/p/B-x5535hos4/?igshid=1c4h12tu4lmb
kaitlyn_penman,Happy 18th birthday pretty!! Hope u thee best day @loismckean
LizQuen1424,Happy 18th birthday sis @ratedlq! God Bless! 
tstokes74,"Happy 18th birthday Emma. @Earle, Arkansas https://www.instagram.com/p/B-x4YTVBg8YUiDX2TpaJW1X1lDWy3gLkmWTKO80/?igshid=rw72i7oglfoi"
WhiskItShoppe,"Happy 18th Birthday, Mallory!!! @The Whisk It Shoppe https://www.instagram.com/p/B-x4NfXlOUE/?igshid=3vukw46exz0d"
Monster_Guy_X, staywetfordaddy: Happy 18th birthday 
RHSRebelSoccer,"Our Senior Captain, Sophia Dietz, turned 18 this week! Over 26 different cars showed up for her birthday parade including teammates, classmates, and teachers. Roncalli has an incredible community! Happy 18th Birthday, Soph! "
ughtaesty,happy 18th birthday to one of my best frans. @asstaedick happy bday anal queen 
HeatherBarbourx,Happy 18th birthday @MoirRaegan Hope you have a great day and get spoilt cuz you deserve it. Love ya xx
sammhelenn,happy 18th birthday 
marsthesithh,happy 18th birthday hajar 
yale__mollie,HAPPY 18TH BIRTHDAY QUEEN @antihan_ HAVE AN AMAZING DAY 
sdmnuniversse,HAPPY 18TH BIRTHDAY ANTI HANNAH GOLDEN
GiannaE42802098,same :) also please just tweet “happy 18th birthday gianna”
p_j_everson,"Today @tbjzlachy will be spending her 18th in lockdown, can you wish her Happy Birthday please @miniminter"
p_j_everson,@tbjzlachy will be spending her 18th today in lockdown with her parents Brighten her day and wish her Happy Birthday please @Callux @Tobjizzle @Vikkstar123 birthday 
HasFamily, Happy 18th Birthday to Mr. andrew.keo Appreciate his heart for the Lord &amp; others! Maybe you don't have to do any work at the new land today (Maybe )! #LoveOurMKs #GodIsGood https://www.instagram.com/p/B-x0QIkpLq3/?igshid=1m6usf8cvnrxj
_alishacal,Happy 18th birthday @loismckean hope ur day is fab and can’t wait to celebrate when this is over! Big love 
MellowCreamer,"Happy 18th birthday, Legoshi! I hope you're able to eat a bunch of cake and ice cream today. #BEASTARS展 #BEASTARS"
harleymurphyyy,"HAPPY BIRTHDAY TO MY BEST FRRRIENDDDD @antihan_ omg happy 18th birthday you absolute gem I adore you so much man, you are so amazing and so special I’m forever proud of you always here to support you, thank you for everything "
EvieIouisex,HAPPY 18th BIRTHDAY MY FAVE I love you millions and trillions and gazillions zantipan and I can’t wait to see you when miss rona catches a flight. I LOVE YOU MY ANGEL HAPPY BIRTHDAY @antihan_
bingeonyouth,hey!! happy birthday @antihan_ i can’t believe you’re 18! that means i’ve been a fan for 3 years now which is absolutely insane. i hope you have a good 18th birthday even given the circumstances
evaadrian89,happy 18th birthday my gal hope you have the best day!! sad we can’t celebrate but we defo will after lockdown love you the most sexy &lt;33 xx @loismckean
SGLizaQuen,waaahhhh mareee @ratedlq happy 18th birthday wishing you all the best! see you soon with the kumares mamiiiii love youuu mwah enjoy your day ha kahit nasa house lang yuno legal age na hahahaha
_hollyhuntt,@OrlaHain happy 18th birthday to my number 1!! Hope you have the most amaze day because you deserve it.. can’t wait to boogie with you :) love you with all my heart 
VicWeenieS,"ITS MIDNIGHT HAPPY BIRTHDAY TO MY KICKASS MATE @PriyankaMahesw7 I know its not ideal right now, but i still hope you have an amazing day Happy 18th my lovely "
sophiaabooth,@antihan_ HAPPY 18TH BIRTHDAY MATE!!! pints soon i say have a good day!!x
kiwiiidoodles,Ya lo ha subido él but le he hecho este dibujito a mí sunshine preferido Gonzalo FELICITADLE TODOS ES UNA ORDEN. ilY happy 18th birthday 
MadMaxine143,@antihan_ HaPpY BiRtHdAy to my gorgeous 18year old ADULT daughter! Cannot believe it. We will have the best 18th isolation celebrations that we possibly can have!!!! Love you so very much love Mum xxxxxx
Akicakey,Guuuuurl! We love you! Happy 18th birthday 
maquiranjohn,Happy 18th Birthday @kensanjose_
decorandmoreuk, Happy Birthday to your Sin! We did that too for our neighbours’s Son’s bday (it was his 18th).
stedev2,"Happy 18th birthday alyssa.matz!!! Life’s first lesson as an adult is a tough one, but knowing you have friends and family that care enough to have a drive-by birthday party is something pretty special @Hammonton,… https://www.instagram.com/p/B-xu9dWpRaT/?igshid=10w1653z5ngk3"
_lauren_torok_,happy birthday libby! wishing you the best 18th! hope you enjoyed it &amp; I miss you! @libbyolson11
Snjhenriquez,@dylanobrien wanna say happy 18th birthday to my friend who’s gonna spend her day in quarantine? 
bloodchestcr,/ HAPPY EARLY BIRTHDAY I DIDNT KNOW YOU WERE AN AIRES MINES APRIL 18TH
eelliejayy,happy birthday to a bestie!! hope u had the best day 18th see u for a dance soon @sophieinnes0
kisdnetman,@jillian4902 Happy 18th sweetpea!! Sure miss you're smiling face. Hope you have a good day and when all this is over you can celebrate your 18th in Grand Style. Love ya like you were my own!! Happy Birthday!!
needysghostins,happy birthday love !! enjoy ur 18th as you should
CMandSradio," Happy 18th birthday to Miss Deja Tribbitt, Deja was a guest co host for us and did an excellent Deja is second from the left @TribPhD"
vibingblaise,hiii eek i know im late. but happy 18th birthday lucy. hope you have had the best day!! miss you lots @CastawayOA
chloearnold,Happy 18th birthday @LILKIDA8 - so proud of you! 
_mvr22,"Happy 18th birthday , i wish you a long life "
SCTFC,Happy 18th Birthday @rhyspalmer28 from all at the Royals 
cristinaarmisen,Happy 18 birthday my beautiful flower #evaarmisen #18thbirthday #blooming https://www.instagram.com/p/B-xnKOAjJi5/?igshid=1qmlh7vqooixx
Currie1354,"Singing ""Happy birthday to ya"" We love you and wish you a happy 18th birthday! @PhilMFdeez"
semonebecton,Happy 18th Birthday Kiyah. Enjoy your day. #GOCARDS
8blueyes,Happy Birthday Kiernan... 18 will certainly be one to remember! We celebrate everyday that we have you but party has been postponed for now. . . .#lifewithsockmonkey #quarantinebirthday2020 #18thbirthday @at HOME in… https://www.instagram.com/p/B-xmY1zJuni/?igshid=64tocerecj4
nefynluke,Happy 18th Birthday hope you have had a great day
rspires,Happy Birthday! My daughter's 18th is today as well. Here is one of my favorite play list: 
thelovt,Great Happy 18th Birthday Wishes 
Kayshinedown,Happy 18th Birthday to your son #YNWA
peachiejoony,Happy 18th Birthday Semi !! May this year give you many good memories! Stan Cignature #HappySemiDay #cignature
TheDevilAlive,happy 18th birthday to my dear self I deserve the best 
suierl,Happy 18th birthday to me 
deppandmayer,"happy 18th birthday to johnny’s youngest child, son, john “jack” christopher III his big sister lily- rose posted this sweet throwback earlier today on her instagram (lilyrose_depp) "
loisdanks101,It’s my 18th birthday in November what have I got to do to get a happy birthday off of you and @ColbyBrock ? #SamandColbyAtHome
amberkova,Me on April 18th when my dad sings me happy birthday by ourselves 
jeffdow,Happy birthday @BrennaPerez20! Looking forward to you joining the @UIWWBB program! @toeknee8289 let’s be sure to spoil her on her 18th birthday.
wheatles18,"@RealRazor hi mate it’s my best mates birthday on Sunday, would you be able to send him a happy birthday message/vid? It’s his 18th and his name is max. Cheers "
Tigerlily723,Spitting image of his daddy at that age Happy 18th birthday Jack Depp 
Aicxella,happy 18th birthday Kenneth!! love youuu &amp; imy #KenSanJoseTurns18
bsbsgrcstphn,Happy 18th birthday stephhh — thank u 
bsbsgrcstphn,"Happy 18th birthday teptep! nahihiya akong magpakilala kaya dito nalang, sana happy ka ngayong birthday mo kahit… — sure ka ayaw mong magpakilala? hahaha osige thankyouuu https://curiouscat.me/bsbsgrcstphn/post/1080115341"
diamondave613,Happy 18th Birthday
txylorsmithh,"@laurenscotttxx happy birthday pretty girl, I hope your enjoying your 18th as much as possible!! "
asolupe1,"Happy 18th Birthday to this little brother of mine , so proud of all the things you’ve accomplished , and have yet to accomplish , I love you "
FlowerMoonRecs,"Ya'll really cut loose in this one... Happy 18th birthday ""Burn and Shiver"" "
brian_mathew75,Happy birthday! Mine is on the 18th
dankjenny,"it’s my 18th birthday, I’m supposed to be happy yet here I am crying, fuck what’s new"
ChrisRoque1992,Happy 18th Birthday to Jack Depp! #LilyRoseDepp #JohnnyDepp #VanessaParadis #JackDepp
lcxcgirls,Happy 18th Birthday to Lillian Zubeck! 
QI_LouOverton,"I've lived in this cul-de-sac for over 3 years....after tonight's #ClapForTheNHS, I met some of my neighbours for the first time, we shared a drink, sang happy 18th birthday to one lady &amp; bonded over this unprecedented time we're living in (2 metres apart, obvs!) #silverlinings"
wacka73,Happy 18th Birthday Izzy izzyhooleyxo u little beaut!! Hope u have had a great day celebrating with the fam xx #cousins #fam #18thbirthday xx https://www.instagram.com/p/B-xbhfmBUtj/?igshid=a1272sl4ud5a
VandVLearning,Happy 18th birthday
yourschloex,It’s my sister’s 18th birthday today and my dad &amp; my sister’s boyfriend put on a mini firework display for her. They told a neighbour who passed it around the street and in the end the whole street came out to watch and at the end they all shouted Happy Birthday. How lovely 
LlBER0,def one of my fave noya stan and aaaa hAPPY 18th!!! BIRTHDAY OH MY GOD ENJOY HAVE A GREAT ONE!! HOPE U STILL HAVE FUN DESPITE QUARANTINE NOYA WISHES U WELL RAWR
nataliehauser58,"Happy 18th birthday to one of my absolute favorite people I love you so much girlie, you deserve the world and more "
AnnAvelino2,"To my greatest bestfriend ever, happy 18th birthday! Iloveyousomuuuch @rookie"
maskedmenace15,"Happy (early) birthday! I turned 18 a month and a half ago and... tbh, I feel the same. No pressure to grow up, man. I hope your 18th year is a good one"
hannahjamesmae_,"happy 18th birthday to the sweetest soul ever. Thank you for being everyone’s sunshine, ily "
80sFootballCard," Happy Birthday Cardinals great Freddie Joe Nunn! Drafted 18th overall in 1985, Nunn would go onto play 9 yrs for the Cards &amp; is the franchise's all-time leader in sacks w/66.5. Freddie's 25 sacks in '87 (11) &amp; '88 (14) were 3rd most in the NFL behind LT &amp; R. White. #Cardinals"
ruddg16,Today's my son's 18th birthday. Sad that he can't celebrate like he wanted but excited for his journey. Happy Birthday son! Love ya! #18birthday #seniors2020 #covid19sucks
TriveHacks,Happy 18th Birthday Wishes 
Jaden60248491,A big shout out to Johnny Depp's boy Jack! HAPPY 18TH BIRTHDAY BUD
ShellMurison,"Happy 18th birthday Billy, hope uv had a good day!! x @BillyCrockett15"
Pat_Zapanta,"Happy 18th Birthday @sophiasrmnto!! Be a good woman, daughter to your mother, sister to your brother, and gwapa ko HAHAHAHAHAHA love ko pa rin yung ping na nakilala ko nung gr. 7. I love you Ping!!! "
Heatheranwest,When the Street stops clapping for the NHS and starts singing Happy Birthday to your daughter on her 18th #lockdownBirthday #NHSclap
FloraBarton,Happy 18th Birthday!! The whole street helped make this happen! Thank you..... #ShineOn!
sunfl0werfeilds,Reposting since I got their twitter now. Happy 18th birthday!!! 
balsasurfboards,"Happy 18th birthday Seb. Hope you had a good day considering your party was postponed. @Sydney, Australia https://www.instagram.com/p/B-xWm9oHpHC/?igshid=xpuxq06xyva2"
ChickenShawarm2,Happy 18th birthday to you queen of the coast 
bertsbigadv,"Won't you help us wish a happy birthday to our friend @LilNasX?! This sweet soul surprised our kiddos with a VIP performance during Bert's Big Adventure's 18th annual all-expenses-paid 5-day journey to @WaltDisneyWorld https://bertsbigadventure.org/the-trip/photo-gallery/2020-photo-gallery/2020-photos-day4/. Happy birthday, #LilNasX! #BBA2020"
HookEmHaren,Happy 18th birthday ⁦@jackharen_6⁩ !!! Proud of the man you’ve become and praying I get one last chance to coach you this spring. #aptrack
erin_irvin,"Happy 18th birthday neads, hope your day is special just like you! Enjoy celebrating in a true Timoney way when this is over! Hopefully see you for a drink soon xx @SineadT_"
beastmode_mead,Happy birthday @citlalyymichel hope you have an amazing 18th birthday 
megann398,Happy 18th birthday sunshine!! I hope you have a great day even in quarantine! 
emmaromano_,happy birthday carmen!! i love n miss you so much pretty &amp; i’m so thankful for all our amazing track memories together hope ur 18th is the best one yet @chiapponecarmen
ehill0999,HAPPY 18th BIRTHDAY TWIN!! i hope u have the best one ever!! 
