username,tweet
Cy_nen23,"Her love to her family is unconditional, especially to her father. A loving daughter, fiancè & sibling. @143redangel Happy 35th Birthday Angel Locsin #TLWFallout"
DKShrewsbury,May I extend best wishes & Happy 35th Birthday @BBCShropshire. You are helping enormously to keep us all sane during this challenging time. My thanks to everyone! @GallacherJoanne
bebnartates121,"Happiest Birthday to the woman I really admire a lot.. Wishing you all the best things in life, God always blessed you.. Mag ingat ka lagi at mabuhay ka DARNA @143redangel Happy 35th birthday #TLWFallout"
JhenzCuteALS,Na miz ku itong bonding ntin ALS FAMILY Happy 35th Birthday Angel Locsin #TLWFallout
JhenzCuteALS,Hello kmusta n po Kau ALS FAMILY KEEP SAFE ALWAYS God Bless Happy 35th Birthday Angel Locsin #TLWFallout
lezley4tern,Happy 35th Birthday @BBCShropshire. Thanks for all that you do for us #lovelocalradio #onalldayinmyhouse
JhenzCuteALS,"Solid p din po aku sa ALS,super supportive lhat sila at mababait Happy 35th Birthday Angel Locsin #TLWFallout"
JumboVismaRoad,Happy 35th birthday @tonymartin85! 
Cy_nen23,Happy 35th Birthday Queen Angel Locsin #TLWFallout
AMPAdocs,Happy 35th birthday! We are thankful for the many world class #AMPAdocs at @UWMedFlight!
Cy_nen23,Happiest birthday ate @143redangel ... Thank you for inspiring us. Saranghaeyo♡ Happy 35th Angel Locsin #TLWFallout
MichaelaAtkins1,Happy 35th Birthday @BBCShropshire It’s where my love of local radio and all it stands for began! Happy days! 
thepeoplesDARNA,"Happy Birthday, Darna! @143redangel #HappyAngelLocsinDay On this Angel Locsin's 35th Birthday, let's take a look back at the many memorables roles on tv and movie that made her the star, the queen as she today! "
Cy_nen23,Happy 35th birthday to this amazing person Angel Locsin Don't forget to watch our new video Down here https://youtu.be/mFLfBqQwQ_E
Realashiira,HAPPY 35TH BIRTHDAY DARNA! I LOVE YOU AS ALWAYS #HappyAngelLocsinDay
Realashiira,Happy 35th Birthday Ate Angel! @143redangel Isa kang angel sa lupa. Continue to be a good Example to me and to everyone. I love you as always … https://www.instagram.com/p/B_T6DNMjkOQ8uzd8jLZPlo1fcm6rKkQgdVhcn80/?igshid=jv28rr6g2cxq
