age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo,
82,1.25218661120865E+018,https://twitter.com/SirBobby/status/1252186611208650754,SirBobby,,I am very touched by the messages from the children at the Sir Bobby Charlton Rehabilitation Centre in Amman. Our Foundation is ensuring that these children continue to be supported during the current pandemic. #Staystafe #Coronavirus#HumanitarianAid,2020-04-20 10:45:27+00:00,30,304,,#Staystafe,1.25218661120865E+018,
82,1.24536844886943E+018,https://twitter.com/SirBobby/status/1245368448869425154,SirBobby,SBCFoundation,Make sure to join the @SBCFoundation in our #SirBobbysHomeChampion initiative which brings together communities from across the globe to take part in a daily home exercise challenge. Looking forward to seeing how many of you get involved and become part of this great campaign.,2020-04-01 15:12:30+00:00,11,57,@SBCFoundation,#SirBobbysHomeChampion,1.24536844886943E+018,
82,1.24022266902024E+018,https://twitter.com/SirBobby/status/1240222669020241920,SirBobby,SBCFoundation,"If you would like to help victims of conflict, there are many opportunities available to support our conflict recovery projects, please find out more about @SBCFoundation corporate sponsorship programme.",2020-03-18 10:25:01+00:00,8,66,@SBCFoundation,,1.24022266902024E+018,
82,1.22037500658633E+018,https://twitter.com/SirBobby/status/1220375006586331136,SirBobby,SBCFoundation,"If you'd like to support, inspire and empower conflict affected communities, please find out more about @SBCFoundation fundraising initiatives.",2020-01-23 15:57:29+00:00,14,80,@SBCFoundation,,1.22037500658633E+018,
82,1.20798866332344E+018,https://twitter.com/SirBobby/status/1207988663323439106,SirBobby,SBCFoundation,"Well done to the skilful graduates who look forward to a prosperous future, helping innocent civilians who have been left with disabilities as a result of conflict.",2019-12-20 11:38:35+00:00,13,171,,,1.20798866332344E+018,
82,1.20153700755563E+018,https://twitter.com/SirBobby/status/1201537007555633152,SirBobby,SBCFoundation,"Visit @SBCFoundation @ManUtd charity shirt sale in Knutsford, Cheshire on Wednesday 4th and 5th December. All proceeds will go directly towards supporting children, families and communities who have been affected by past and present conflicts.",2019-12-02 16:22:00+00:00,9,81,@SBCFoundation @ManUtd,,1.20153700755563E+018,
82,1.19788392081515E+018,https://twitter.com/SirBobby/status/1197883920815153153,SirBobby,SBCFoundation,"These poignant pieces of art, created by young refugees undertaking art therapy at The SBCF Centre, showcases the horrors which thousands of children and adults have endured due to acts of terror and conflict. Please visit the gallery to learn about the children's experiences.",2019-11-22 14:25:56+00:00,77,446,,,1.19788392081515E+018,
82,1.19492964275237E+018,https://twitter.com/SirBobby/status/1194929642752368646,SirBobby,SBCFoundation,"I am pleased to see the development of the second conflict recovery centre which will provide support to displaced communities in Cambodia. If you are a business looking for sponsorship opportunities, you can support the Centre's development by visiting: http://ow.ly/AoJz50x5NNA",2019-11-14 10:46:42+00:00,5,93,,,1.19492964275237E+018,
82,1.1898537773959E+018,https://twitter.com/SirBobby/status/1189853777395900416,SirBobby,SBCFoundation,"Fantastic to see that my good friend, Jane Bateman has been named as one of the first Bobby's Champions. Thank you, Jane, for your longstanding support of The Sir Bobby Charlton Foundation.",2019-10-31 10:37:01+00:00,7,85,,,1.1898537773959E+018,
82,1.18736989256937E+018,https://twitter.com/SirBobby/status/1187369892569370625,SirBobby,SBCFoundation,"The incredible work that we accomplish at The Sir Bobby Charlton Foundation is a credit to the hardworking staff, like Akram Ramani, who work tirelessly to assist victims of conflict. Thank you!",2019-10-24 14:06:57+00:00,8,101,,,1.18736989256937E+018,
82,1.18487075663266E+018,https://twitter.com/SirBobby/status/1184870756632662017,SirBobby,SBCFoundation,"Fantastic to see the pioneering work of Project SEMIS, undertaken by researchers at @OfficialUoM, which aims to develop innovative technologies to reduce the threat of landmines worldwide.",2019-10-17 16:36:16+00:00,5,54,@OfficialUoM,,1.18487075663266E+018,
82,1.18258624787486E+018,https://twitter.com/SirBobby/status/1182586247874859008,SirBobby,SBCFoundation,"I am humbled to see the launch of The Sir Bobby Charlton Foundation. I would like to thank the hard-working team, both in the UK and across the world, who have helped this come to fruition.",2019-10-11 09:18:27+00:00,140,2093,,,1.18258624787486E+018,
82,1.16955566519665E+018,https://twitter.com/SirBobby/status/1169555665196654593,SirBobby,SBCFoundation,"I'm incredibly grateful for @FindABetterWay supporters and staff who help us in our mission to support, inspire and empower families and children who have been devastated by the impacts of war. Together we can create a brighter and safer future for all. #InternationalDayofCharity",2019-09-05 10:19:34+00:00,30,228,,#InternationalDayofCharity,1.16955566519665E+018,
82,1.16699624725069E+018,https://twitter.com/SirBobby/status/1166996247250685952,SirBobby,SBCFoundation,Well worth the visit to this moving exhibition which showcases Syrian children's artwork which has been created during an art therapy course held at the Sir Bobby Charlton Centre in Jordan.,2019-08-29 08:49:21+00:00,10,149,,,1.16699624725069E+018,
82,1.14392373157374E+018,https://twitter.com/SirBobby/status/1143923731573739520,SirBobby,,"Congratulations to my good friend, Jane Bateman who has completed the Vitality London 10k marathon. Jane has raised £5,233 which will fund vital research and rehabilitation projects for my charity, @FindABetterWay.",2019-06-26 16:47:25+00:00,21,300,,,1.14392373157374E+018,
82,1.25191921911911E+018,https://twitter.com/AnthonyHopkins/status/1251919219119108096,AnthonyHopkins,,"Even though the heart is breaking, try to keep smiling through...",2020-04-19 17:02:56+00:00,11144,65058,,,1.25191921911911E+018,
82,1.24942991753349E+018,https://twitter.com/AnthonyHopkins/status/1249429917533491203,AnthonyHopkins,,Hello everyone...,2020-04-12 20:11:20+00:00,17065,128019,,,1.24942991753349E+018,
82,1.24284586842999E+018,https://twitter.com/AnthonyHopkins/status/1242845868429991936,AnthonyHopkins,,Day 10 of self-imposed quarantine... ,2020-03-25 16:08:40+00:00,10464,65964,,,1.24284586842999E+018,
82,1.24032765647156E+018,https://twitter.com/AnthonyHopkins/status/1240327656471556097,AnthonyHopkins,,Niblo is making sure I stay healthy and demands I entertain him in exchange... cats ,2020-03-18 17:22:12+00:00,49149,251339,,,1.24032765647156E+018,
82,1.23777818178598E+018,https://twitter.com/AnthonyHopkins/status/1237778181785976832,AnthonyHopkins,,Thank you @picturemill for your assistance in creating this beautiful poster. @ElyseFilm @MargamFilms #ElyseFilm,2020-03-11 16:31:30+00:00,217,2839,@picturemill @ElyseFilm @MargamFilms,#ElyseFilm,1.23777818178598E+018,
82,1.2367181677134E+018,https://twitter.com/AnthonyHopkins/status/1236718167713402880,AnthonyHopkins,,Happy #InternationalWomensDay,2020-03-08 18:19:22+00:00,625,11151,,#InternationalWomensDay,1.2367181677134E+018,
82,1.23532279309034E+018,https://twitter.com/AnthonyHopkins/status/1235322793090338817,AnthonyHopkins,,"Congratulations to my beautiful wife, Stella Hopkins, and to the cast and crew of @ElyseFilm #ElyseFilm https://ficg.mx/35/public/en/evento/191",2020-03-04 21:54:39+00:00,101,1656,@ElyseFilm,#ElyseFilm,1.23532279309034E+018,
82,1.23164370837576E+018,https://twitter.com/AnthonyHopkins/status/1231643708375760897,AnthonyHopkins,,Have a nice day cuz it’s Magic. ,2020-02-23 18:15:17+00:00,4001,35021,,,1.23164370837576E+018,
82,1.22838500396213E+018,https://twitter.com/AnthonyHopkins/status/1228385003962126336,AnthonyHopkins,,Happy Valentine’s Day,2020-02-14 18:26:21+00:00,6100,54008,,,1.22838500396213E+018,
82,1.22618993370392E+018,https://twitter.com/AnthonyHopkins/status/1226189933703921666,AnthonyHopkins,,Niblo wishes everyone a lovely day...,2020-02-08 17:03:56+00:00,7725,59756,,,1.22618993370392E+018,
82,1.22548079323489E+018,https://twitter.com/AnthonyHopkins/status/1225480793234886656,AnthonyHopkins,,In 1973 I had the honor to work with the great Kirk Douglas. RIP. My condolences to the Douglas family.,2020-02-06 18:06:04+00:00,344,4320,,,1.22548079323489E+018,
82,1.2240587010797E+018,https://twitter.com/AnthonyHopkins/status/1224058701079695360,AnthonyHopkins,,Happy Sunday. Tweedledum Tweedledee. What happens next?,2020-02-02 19:55:10+00:00,911,14872,,,1.2240587010797E+018,
82,1.22156597937891E+018,https://twitter.com/AnthonyHopkins/status/1221565979378905088,AnthonyHopkins,,My sincere condolences to the Bryant family. Sad day for Los Angeles and the basketball community.,2020-01-26 22:49:59+00:00,912,10859,,,1.22156597937891E+018,
