age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo,,,
66,1.25E+18,https://twitter.com/Oprah/status/1251656625947136001,Oprah,,Or stream it here: https://www.globalcitizen.org/en/connect/togetherathome/?utm_source=social_platform&amp,utm_medium=platformglobal_artist&amp,utm_campaign=oneworld_launch&amp,utm_content=signup #TogetherAtHome,2020-04-18 23:39:28+00:00,220,1399,,#TogetherAtHome #TogetherAtHome,1.25E+18
66,1.25E+18,https://twitter.com/Oprah/status/1251656521882140672,Oprah,,We’re doing dinner early so we can watch the ONE World concert with @LadyGaga &amp, @glblctzn at 8 PM EST across all the major networks. I think wine and music makes meal prep so much better. You agree? #TogetherAtHome,2020-04-18 23:39:04+00:00,2636,38926,#NAME?,#TogetherAtHome #TogetherAtHome,1.25E+18,,
66,1.25E+18,https://twitter.com/Oprah/status/1250276194907381760,Oprah,,"We are in a moment where we need to be lifted and comforted and @IAMJHUD’s voice is one that can do that. Jennifer: Thank you for calming our spirits through your song, “Moan.” Watch my free @appletv special #OprahTalks here: http://apple.co/Oprahtalks pic.twitter.com/vZrBhxtZHZ",2020-04-15 04:14:08+00:00,439,1881,#NAME?,#OprahTalks,1.25E+18,,,
66,1.25E+18,https://twitter.com/Oprah/status/1250274404577079297,Oprah,,Stream my free @AppleTV conversation with @DrAlethaMaybank here:,2020-04-15 04:07:01+00:00,71,349,#NAME?,,1.25E+18,,,
66,1.25E+18,https://twitter.com/Oprah/status/1250274169004032000,Oprah,,.@DrAlethaMaybank founded the first center for health equity for the @AmerMedicalAssn. She seeks to provide underserved populations across the country with resources &amp, access to quality healthcare. Thank you for your work #OprahTalks #COVID19,2020-04-15 04:06:05+00:00,296,1349,#NAME?,#OprahTalks #COVID19,1.25E+18,,
66,1.25E+18,https://twitter.com/Oprah/status/1250269587599319043,Oprah,nhannahjones,Important thread on #COVID19 &amp, Black America #OprahTalks,2020-04-15 03:47:53+00:00,268,1104,,#COVID19 #OprahTalks,1.25E+18,,
66,1.25E+18,https://twitter.com/Oprah/status/1250269478304100352,Oprah,,Watch my free @AppleTV conversation with @nhannahjones here: http://Apple.co/oprahtalks,2020-04-15 03:47:27+00:00,89,356,#NAME?,,1.25E+18,,,
66,1.25E+18,https://twitter.com/Oprah/status/1250268740605919232,Oprah,,.@nhannahjones was ahead of the curve in warning us that #COVID19 was going to hit the Black community like a sledgehammer—which is why she started a Twitter thread to make them aware. Thank you for bringing us awareness through your work &amp, social media. #OprahTalks,2020-04-15 03:44:31+00:00,612,3281,#NAME?,#COVID19 #OprahTalks,1.25E+18,,
66,1.25E+18,https://twitter.com/Oprah/status/1250266899801346048,Oprah,,Watch my free @AppleTV conversation with the Riley family here: http://Apple.co/oprahtalks,2020-04-15 03:37:12+00:00,32,205,#NAME?,,1.25E+18,,,
66,1.25E+18,https://twitter.com/Oprah/status/1250266527074594817,Oprah,,"In Milwaukee, Black people account for nearly 70% of the #COVID19 deaths but only make up 26% of the population. Lawrence was the first resident of the city to die of the virus. He lost his battle 3 days after being diagnosed—wth his family unable to be by his side #OprahTalks",2020-04-15 03:35:43+00:00,324,1246,,#COVID19 #OprahTalks,1.25E+18,,,
